"","ID_MUJ","FAC_MUJ","EDAD","tipo_violencia","value"
"94","0101015.05.01.01",92,35,"fue_violentada_emoc",TRUE
"95","0101062.02.01.02",181,17,"fue_violentada_emoc",TRUE
"96","0101068.03.01.05",167,23,"fue_violentada_emoc",TRUE
"97","0101068.04.01.02",84,37,"fue_violentada_emoc",TRUE
"98","0101071.03.01.02",77,32,"fue_violentada_emoc",TRUE
"99","0101073.03.01.04",372,18,"fue_violentada_emoc",TRUE
"100","0101089.02.01.04",141,23,"fue_violentada_emoc",TRUE
"101","0101094.01.01.02",91,43,"fue_violentada_emoc",TRUE
"102","0101094.02.01.02",91,53,"fue_violentada_emoc",TRUE
"103","0101098.05.01.01",92,67,"fue_violentada_emoc",TRUE
"104","0101121.01.01.03",270,20,"fue_violentada_emoc",TRUE
"105","0101123.01.01.02",91,48,"fue_violentada_emoc",TRUE
"106","0101128.04.01.04",194,22,"fue_violentada_emoc",TRUE
"107","0101129.05.01.02",179,65,"fue_violentada_emoc",TRUE
"108","0101137.01.01.01",90,59,"fue_violentada_emoc",TRUE
"109","0101140.01.01.03",185,22,"fue_violentada_emoc",TRUE
"110","0101148.05.01.01",93,36,"fue_violentada_emoc",TRUE
"111","0101163.02.01.09",280,19,"fue_violentada_emoc",TRUE
"112","0101167.02.01.02",94,49,"fue_violentada_emoc",TRUE
"113","0101170.04.01.02",91,43,"fue_violentada_emoc",TRUE
"114","0101187.01.01.02",194,25,"fue_violentada_emoc",TRUE
"115","0101187.05.01.02",97,55,"fue_violentada_emoc",TRUE
"116","0101188.05.01.02",186,55,"fue_violentada_emoc",TRUE
"117","0101199.02.01.01",79,61,"fue_violentada_emoc",TRUE
"118","0101240.01.01.01",86,43,"fue_violentada_emoc",TRUE
"119","0101240.03.01.03",173,18,"fue_violentada_emoc",TRUE
"120","0101250.03.01.02",96,21,"fue_violentada_emoc",TRUE
"121","0101267.04.01.01",88,43,"fue_violentada_emoc",TRUE
"122","0101270.03.01.01",292,45,"fue_violentada_emoc",TRUE
"123","0101276.02.01.03",178,31,"fue_violentada_emoc",TRUE
"124","0101278.04.01.02",176,54,"fue_violentada_emoc",TRUE
"125","0101283.03.01.02",143,42,"fue_violentada_emoc",TRUE
"126","0101284.01.01.03",187,26,"fue_violentada_emoc",TRUE
"127","0101286.01.01.05",186,24,"fue_violentada_emoc",TRUE
"128","0101286.04.01.04",186,18,"fue_violentada_emoc",TRUE
"129","0101286.05.01.01",186,58,"fue_violentada_emoc",TRUE
"130","0101289.03.01.02",91,49,"fue_violentada_emoc",TRUE
"131","0101290.01.01.03",162,22,"fue_violentada_emoc",TRUE
"132","0101310.04.01.04",209,16,"fue_violentada_emoc",TRUE
"133","0101310.05.01.01",104,34,"fue_violentada_emoc",TRUE
"134","0101315.05.01.06",218,39,"fue_violentada_emoc",TRUE
"135","0101318.02.01.04",191,19,"fue_violentada_emoc",TRUE
"136","0101320.01.01.03",211,35,"fue_violentada_emoc",TRUE
"137","0101360.02.01.02",99,55,"fue_violentada_emoc",TRUE
"138","0101372.02.01.01",88,40,"fue_violentada_emoc",TRUE
"139","0101384.05.01.02",173,30,"fue_violentada_emoc",TRUE
"140","0101399.01.01.03",155,17,"fue_violentada_emoc",TRUE
"141","0101403.01.01.03",247,18,"fue_violentada_emoc",TRUE
"142","0101403.02.01.01",82,37,"fue_violentada_emoc",TRUE
"143","0101405.02.01.03",160,16,"fue_violentada_emoc",TRUE
"144","0101405.03.01.02",80,37,"fue_violentada_emoc",TRUE
"145","0101421.04.01.02",91,38,"fue_violentada_emoc",TRUE
"146","0101445.05.01.03",186,30,"fue_violentada_emoc",TRUE
"147","0101448.05.01.03",143,18,"fue_violentada_emoc",TRUE
"148","0101454.03.01.02",96,33,"fue_violentada_emoc",TRUE
"149","0101455.03.01.02",93,41,"fue_violentada_emoc",TRUE
"150","0101473.03.01.02",97,42,"fue_violentada_emoc",TRUE
"151","0101480.01.01.01",194,74,"fue_violentada_emoc",TRUE
"152","0101499.02.01.02",81,42,"fue_violentada_emoc",TRUE
"153","0101521.05.01.04",309,15,"fue_violentada_emoc",TRUE
"154","0101530.01.01.02",114,34,"fue_violentada_emoc",TRUE
"155","0101530.03.01.01",114,65,"fue_violentada_emoc",TRUE
"156","0101576.04.01.02",170,33,"fue_violentada_emoc",TRUE
"157","0101592.01.01.05",255,17,"fue_violentada_emoc",TRUE
"158","0101618.01.01.03",290,24,"fue_violentada_emoc",TRUE
"159","0101618.04.01.01",290,47,"fue_violentada_emoc",TRUE
"160","0101620.05.01.02",202,48,"fue_violentada_emoc",TRUE
"161","0101636.01.01.01",104,30,"fue_violentada_emoc",TRUE
"162","0101641.03.01.02",90,61,"fue_violentada_emoc",TRUE
"163","0101642.04.01.02",157,35,"fue_violentada_emoc",TRUE
"164","0101646.04.01.01",177,25,"fue_violentada_emoc",TRUE
"165","0101650.02.01.02",89,30,"fue_violentada_emoc",TRUE
"166","0101677.04.01.03",223,18,"fue_violentada_emoc",TRUE
"167","0101690.05.01.03",152,21,"fue_violentada_emoc",TRUE
"168","0101696.02.01.02",167,16,"fue_violentada_emoc",TRUE
"169","0101696.04.01.03",167,17,"fue_violentada_emoc",TRUE
"170","0101703.04.01.04",190,16,"fue_violentada_emoc",TRUE
"171","0101709.03.01.02",107,29,"fue_violentada_emoc",TRUE
"172","0101709.04.01.02",213,15,"fue_violentada_emoc",TRUE
"173","0101727.05.01.02",106,43,"fue_violentada_emoc",TRUE
"174","0101737.02.01.01",94,42,"fue_violentada_emoc",TRUE
"175","0101745.02.01.02",74,31,"fue_violentada_emoc",TRUE
"176","0101745.05.01.01",74,52,"fue_violentada_emoc",TRUE
"177","0101760.04.01.02",76,30,"fue_violentada_emoc",TRUE
"178","0101781.02.01.01",72,35,"fue_violentada_emoc",TRUE
"179","0101801.04.01.01",117,35,"fue_violentada_emoc",TRUE
"180","0101805.01.01.02",81,38,"fue_violentada_emoc",TRUE
"181","0101810.01.01.02",98,29,"fue_violentada_emoc",TRUE
"182","0101828.01.01.02",95,31,"fue_violentada_emoc",TRUE
"183","0101839.04.01.03",164,16,"fue_violentada_emoc",TRUE
"184","0101856.04.01.02",95,52,"fue_violentada_emoc",TRUE
"185","0101862.02.01.01",101,43,"fue_violentada_emoc",TRUE
"186","0101867.01.01.02",95,35,"fue_violentada_emoc",TRUE
"187","0101884.02.01.03",188,18,"fue_violentada_emoc",TRUE
"188","0101884.05.01.02",94,49,"fue_violentada_emoc",TRUE
"189","0101899.01.01.01",290,80,"fue_violentada_emoc",TRUE
"190","0101901.01.01.03",176,18,"fue_violentada_emoc",TRUE
"191","0101904.04.01.02",90,55,"fue_violentada_emoc",TRUE
"192","0101920.03.01.01",77,27,"fue_violentada_emoc",TRUE
"193","0101920.05.01.02",77,90,"fue_violentada_emoc",TRUE
"194","0101929.02.01.02",115,43,"fue_violentada_emoc",TRUE
"195","0101929.04.01.02",230,57,"fue_violentada_emoc",TRUE
"196","0101937.03.01.02",91,32,"fue_violentada_emoc",TRUE
"197","0101939.05.01.02",166,37,"fue_violentada_emoc",TRUE
"198","0101990.04.01.02",70,38,"fue_violentada_emoc",TRUE
"199","0101990.05.01.02",70,43,"fue_violentada_emoc",TRUE
"200","0102012.03.01.03",290,19,"fue_violentada_emoc",TRUE
"201","0102012.07.01.03",193,21,"fue_violentada_emoc",TRUE
"202","0102014.12.01.02",88,20,"fue_violentada_emoc",TRUE
"203","0102015.03.01.03",399,15,"fue_violentada_emoc",TRUE
"204","0102015.04.01.02",100,28,"fue_violentada_emoc",TRUE
"205","0102015.08.01.03",200,16,"fue_violentada_emoc",TRUE
"206","0102018.09.01.05",182,17,"fue_violentada_emoc",TRUE
"207","0102018.15.01.04",182,84,"fue_violentada_emoc",TRUE
"208","0102034.03.01.04",170,15,"fue_violentada_emoc",TRUE
"209","0102034.04.01.02",85,54,"fue_violentada_emoc",TRUE
"210","0102035.02.01.02",86,34,"fue_violentada_emoc",TRUE
"211","0102052.05.01.04",126,21,"fue_violentada_emoc",TRUE
"212","0102064.03.01.02",81,27,"fue_violentada_emoc",TRUE
"213","0102064.04.01.03",162,23,"fue_violentada_emoc",TRUE
"214","0102069.05.01.05",244,19,"fue_violentada_emoc",TRUE
"215","0102070.04.01.04",180,24,"fue_violentada_emoc",TRUE
"216","0102071.01.01.01",159,35,"fue_violentada_emoc",TRUE
"217","0102093.01.01.04",244,16,"fue_violentada_emoc",TRUE
"218","0102106.05.01.02",158,37,"fue_violentada_emoc",TRUE
"219","0102112.01.01.05",234,18,"fue_violentada_emoc",TRUE
"220","0102112.03.01.02",234,48,"fue_violentada_emoc",TRUE
"221","0102119.01.01.02",95,26,"fue_violentada_emoc",TRUE
"222","0102119.04.01.02",95,46,"fue_violentada_emoc",TRUE
"223","0102129.07.01.01",180,29,"fue_violentada_emoc",TRUE
"224","0102134.01.01.04",234,16,"fue_violentada_emoc",TRUE
"225","0102139.01.01.02",158,19,"fue_violentada_emoc",TRUE
"226","0102139.02.01.03",158,19,"fue_violentada_emoc",TRUE
"227","0102139.18.01.03",158,29,"fue_violentada_emoc",TRUE
"228","0102139.19.01.01",158,38,"fue_violentada_emoc",TRUE
"229","0102154.05.01.02",100,47,"fue_violentada_emoc",TRUE
"230","0102154.09.01.02",100,22,"fue_violentada_emoc",TRUE
"231","0102154.17.01.02",100,32,"fue_violentada_emoc",TRUE
"232","0102154.18.01.02",100,41,"fue_violentada_emoc",TRUE
"233","0102163.14.01.02",184,52,"fue_violentada_emoc",TRUE
"234","0102163.20.01.04",276,20,"fue_violentada_emoc",TRUE
"235","0102213.18.01.02",86,38,"fue_violentada_emoc",TRUE
"236","0102213.20.01.02",86,36,"fue_violentada_emoc",TRUE
"237","0102215.03.01.01",93,35,"fue_violentada_emoc",TRUE
"238","0102215.14.01.02",93,31,"fue_violentada_emoc",TRUE
"239","0102218.02.01.02",80,23,"fue_violentada_emoc",TRUE
"240","0102218.13.01.02",160,31,"fue_violentada_emoc",TRUE
"241","0102218.15.01.02",160,47,"fue_violentada_emoc",TRUE
"242","0102224.08.01.02",69,28,"fue_violentada_emoc",TRUE
"243","0102224.15.01.02",139,39,"fue_violentada_emoc",TRUE
"244","0102224.16.01.02",69,25,"fue_violentada_emoc",TRUE
"245","0102224.19.01.04",139,19,"fue_violentada_emoc",TRUE
"246","0102239.03.01.02",150,54,"fue_violentada_emoc",TRUE
"247","0102239.04.01.04",225,15,"fue_violentada_emoc",TRUE
"248","0102284.02.01.02",145,22,"fue_violentada_emoc",TRUE
"249","0102285.03.01.01",95,64,"fue_violentada_emoc",TRUE
"250","0102288.03.01.02",220,41,"fue_violentada_emoc",TRUE
"251","0102292.18.01.02",87,66,"fue_violentada_emoc",TRUE
"252","0102292.20.01.02",87,53,"fue_violentada_emoc",TRUE
"253","0102295.09.01.02",85,43,"fue_violentada_emoc",TRUE
"254","0102295.15.01.03",170,20,"fue_violentada_emoc",TRUE
"255","0102295.20.01.02",85,35,"fue_violentada_emoc",TRUE
"256","0102312.04.01.01",94,63,"fue_violentada_emoc",TRUE
"257","0102318.09.01.03",167,18,"fue_violentada_emoc",TRUE
"258","0102318.20.01.03",167,19,"fue_violentada_emoc",TRUE
"259","0102351.18.01.02",78,36,"fue_violentada_emoc",TRUE
"260","0102354.03.01.03",160,18,"fue_violentada_emoc",TRUE
"261","0102354.19.01.02",80,44,"fue_violentada_emoc",TRUE
"262","0102355.01.01.04",143,17,"fue_violentada_emoc",TRUE
"263","0102359.19.01.02",85,30,"fue_violentada_emoc",TRUE
"264","0160009.02.01.02",79,23,"fue_violentada_emoc",TRUE
"265","0160009.04.01.02",79,36,"fue_violentada_emoc",TRUE
"266","0160009.12.01.02",238,55,"fue_violentada_emoc",TRUE
"267","0160009.18.01.02",79,34,"fue_violentada_emoc",TRUE
"268","0160012.04.01.01",90,54,"fue_violentada_emoc",TRUE
"269","0160013.09.01.02",173,35,"fue_violentada_emoc",TRUE
"270","0160013.20.01.01",86,30,"fue_violentada_emoc",TRUE
"271","0160032.03.01.02",78,37,"fue_violentada_emoc",TRUE
"272","0160032.11.01.02",78,35,"fue_violentada_emoc",TRUE
"273","0160032.17.01.01",78,46,"fue_violentada_emoc",TRUE
"274","0160039.08.01.02",69,26,"fue_violentada_emoc",TRUE
"275","0160048.04.01.02",78,60,"fue_violentada_emoc",TRUE
"276","0160050.05.01.02",158,51,"fue_violentada_emoc",TRUE
"277","0160051.05.01.01",71,34,"fue_violentada_emoc",TRUE
"278","0160053.07.01.02",79,23,"fue_violentada_emoc",TRUE
"279","0160057.16.01.01",85,38,"fue_violentada_emoc",TRUE
"280","0160057.17.01.02",170,40,"fue_violentada_emoc",TRUE
"281","0160059.11.01.01",182,63,"fue_violentada_emoc",TRUE
"282","0160059.14.01.02",91,29,"fue_violentada_emoc",TRUE
"283","0160063.10.01.01",200,35,"fue_violentada_emoc",TRUE
"284","0160063.12.01.04",100,40,"fue_violentada_emoc",TRUE
"285","0160080.05.01.02",88,67,"fue_violentada_emoc",TRUE
